"filename", "language", "JSON", "Markdown", "JavaScript", "CSS", "HTML", "comment", "blank", "total"
"e:\Marcus\Year3 Sem2\CSCI3100\Project\CSCI3100-GpProj-F4\frontend\src\login\login.js", "JavaScript", 0, 0, 174, 0, 0, 14, 13, 201
"e:\Marcus\Year3 Sem2\CSCI3100\Project\CSCI3100-GpProj-F4\frontend\src\login\signup.css", "CSS", 0, 0, 0, 30, 0, 0, 7, 37
"e:\Marcus\Year3 Sem2\CSCI3100\Project\CSCI3100-GpProj-F4\frontend\src\login\signup.js", "JavaScript", 0, 0, 286, 0, 0, 14, 20, 320
"e:\Marcus\Year3 Sem2\CSCI3100\Project\CSCI3100-GpProj-F4\frontend\src\login\verification.css", "CSS", 0, 0, 0, 26, 0, 0, 6, 32
"e:\Marcus\Year3 Sem2\CSCI3100\Project\CSCI3100-GpProj-F4\frontend\src\login\verification.js", "JavaScript", 0, 0, 159, 0, 0, 8, 16, 183
"e:\Marcus\Year3 Sem2\CSCI3100\Project\CSCI3100-GpProj-F4\frontend\src\main\admin.css", "CSS", 0, 0, 0, 9, 0, 3, 2, 14
"e:\Marcus\Year3 Sem2\CSCI3100\Project\CSCI3100-GpProj-F4\frontend\src\main\admin.js", "JavaScript", 0, 0, 718, 0, 0, 22, 33, 773
"e:\Marcus\Year3 Sem2\CSCI3100\Project\CSCI3100-GpProj-F4\frontend\src\main\customer.js", "JavaScript", 0, 0, 416, 0, 0, 17, 17, 450
"e:\Marcus\Year3 Sem2\CSCI3100\Project\CSCI3100-GpProj-F4\frontend\src\main\main.css", "CSS", 0, 0, 0, 21, 0, 0, 5, 26
"e:\Marcus\Year3 Sem2\CSCI3100\Project\CSCI3100-GpProj-F4\frontend\src\main\main.js", "JavaScript", 0, 0, 315, 0, 0, 20, 19, 354
"e:\Marcus\Year3 Sem2\CSCI3100\Project\CSCI3100-GpProj-F4\frontend\src\main\orderInfo.css", "CSS", 0, 0, 0, 53, 0, 0, 11, 64
"e:\Marcus\Year3 Sem2\CSCI3100\Project\CSCI3100-GpProj-F4\frontend\src\main\orderInfo.js", "JavaScript", 0, 0, 84, 0, 0, 6, 6, 96
"e:\Marcus\Year3 Sem2\CSCI3100\Project\CSCI3100-GpProj-F4\frontend\src\main\restaurant.css", "CSS", 0, 0, 0, 109, 0, 0, 2, 111
"e:\Marcus\Year3 Sem2\CSCI3100\Project\CSCI3100-GpProj-F4\frontend\src\main\restaurant.js", "JavaScript", 0, 0, 383, 0, 0, 11, 25, 419
"e:\Marcus\Year3 Sem2\CSCI3100\Project\CSCI3100-GpProj-F4\frontend\src\main\search_bar.js", "JavaScript", 0, 0, 60, 0, 0, 12, 4, 76
"e:\Marcus\Year3 Sem2\CSCI3100\Project\CSCI3100-GpProj-F4\frontend\src\main\user_restaurant.js", "JavaScript", 0, 0, 862, 0, 0, 48, 41, 951
"e:\Marcus\Year3 Sem2\CSCI3100\Project\CSCI3100-GpProj-F4\frontend\src\reportWebVitals.js", "JavaScript", 0, 0, 12, 0, 0, 0, 2, 14
"e:\Marcus\Year3 Sem2\CSCI3100\Project\CSCI3100-GpProj-F4\frontend\src\setupTests.js", "JavaScript", 0, 0, 1, 0, 0, 4, 1, 6
"e:\Marcus\Year3 Sem2\CSCI3100\Project\CSCI3100-GpProj-F4\package-lock.json", "JSON", 57, 0, 0, 0, 0, 0, 1, 58
"e:\Marcus\Year3 Sem2\CSCI3100\Project\CSCI3100-GpProj-F4\package.json", "JSON", 18, 0, 0, 0, 0, 0, 1, 19
"Total", "-", 35994, 546, 5452, 443, 24, 1004, 919, 44382
