"filename", "language", "JavaScript", "comment", "blank", "total"
"e:\Marcus\Year3 Sem2\CSCI3100\Project\CSCI3100-GpProj-F4\frontend\src\main\search_bar.js", "JavaScript", 0, -7, 0, -7
"Total", "-", 0, -7, 0, -7
